# ============================================================
# NEWS FILE — edit this to update the site's News section
# ============================================================
#
# HOW TO ADD AN ITEM:
# One line per news item, in this format:
#
#   YYYY-MM-DD | Category | Your news text here
#
# - Date must be YYYY-MM-DD (e.g. 2026-08-14) so items sort correctly.
# - Category is a short label, e.g.: Publication, Award, NSF, Student, Talk, Grant
# - Text can be as long as you want, just keep it on ONE line.
# - Lines starting with # (like this one) are ignored — use them for notes.
# - Blank lines are ignored too.
# - Newest items can go anywhere in the file — the site sorts by date
#   automatically, newest first.
#
# EXAMPLES (delete these and add your own below):
2026-08-21 | Service | Serving as Publications Chair for IEEE ISMAR 2026.
2026-07-27 | NSF | Served as a panelist for an NSF HCC - Ad hoc review.
2026-07-9/10 | NSF | Served as a panelist for an NSF K-12 STEM review panel.
2026-03-23/24 | NSF | Served as a panelist for an NSF EDU Core Research (ECR) review panel.
2026-01-21/22 | NSF | Served as a panelist for an NSF Science of Learning and Augmented Intelligence (SL) review panel.
2026-04-14 | Publication | Three papers accepted to Computer Animation and Virtual Worlds (CAVW).
2026-04-14 | Publication | Paper accepted for publication in Lecture Notes in Computer Science (LNCS).
2026-02-22 | Publication | Poster accepted to ACM CHI.
2026-01-14 | Student | Sagar Vankit passed his portfolio evaluation.
2025-10-09 | Student | Sagar Vankit graduated with his Master of Science degree.
2025-09-16 | Student | Jay Kadam graduated with his Master of Science degree.
